"id,""vuosi"",""sp"",""ika"",""kieli"",""peas"",""pekoko"",""suuralue"",""sivs"",""yo"",""ututku"",""patv"",""amas"",""sose"",""toimiala"",""jurmu"",""tuloluokka"",""isa_ika"",""isa_kieli"",""isa_patv"",""isa_amas"",""isa_toimiala"",""isa_jurmu"",""aiti_ika"",""aiti_kieli"",""aiti_patv"",""aiti_amas"",""aiti_toimiala"",""aiti_jurmu"""
"19,2010,""2"",66,""1"",""2"",2,""1"",""2"",""1"",""62"",""0"",""1"",""3"",""85"",""4"",10,,,,,,,,,,,,"
"20,1950,""2"",4,""1"",""3"",5,""4"",,""0"",,""2"",,,,,,43,""1"",""0"",""1"",""82"",""1"",,,,,,"
"20,1970,""2"",24,""1"",""2"",2,""4"",""2"",""1"",""30"",""3"",,""7"",""99"",""9"",6,,,,,,,,,,,,"
"20,1980,""2"",34,""1"",""2"",4,""4"",""2"",""1"",""62"",""0"",""1"",""3"",""93"",""1"",8,,,,,,,,,,,,"
"20,1990,""2"",44,""1"",""2"",4,""4"",""2"",""1"",""72"",""0"",""1"",""3"",""85"",""2"",10,,,,,,,,,,,,"
"20,2000,""2"",54,""1"",""2"",3,""4"",""2"",""1"",""72"",""0"",""1"",""3"",""80"",""2"",10,,,,,,,,,,,,"
"20,2010,""2"",64,""1"",""2"",2,""4"",""2"",""1"",""72"",""3"",,""6"",,""9"",9,,,,,,,,,,,,"
"21,1950,""2"",0,""1"",""3"",4,""2"",,""0"",,""2"",,,,,,,,,,,,,,,,,"
"22,1950,""1"",7,""1"",""0"",0,""3"",,""0"",,""2"",,,,,,,,,,,,,,,,,"
"22,1970,""1"",27,""1"",""1"",2,""3"",""2"",""0"",,""0"",""1"",""5"",""12"",""4"",8,,,,,,,,,,,,"
"22,1980,""1"",37,""1"",""1"",2,""3"",""2"",""0"",,""0"",""1"",""5"",""12"",""4"",8,,,,,,,,,,,,"
"22,1990,""1"",47,""1"",""1"",2,""3"",""2"",""0"",,""0"",""1"",""5"",""04"",""4"",9,,,,,,,,,,,,"
"22,2000,""1"",57,""1"",""1"",2,""3"",""4"",""0"",,""0"",""1"",""5"",""02"",""4"",10,,,,,,,,,,,,"
"22,2010,""1"",67,""1"",""1"",2,""3"",""2"",""0"",,""0"",""1"",""3"",""63"",""4"",10,,,,,,,,,,,,"
"23,1950,""2"",3,""1"",""3"",6,""3"",,""0"",,""2"",,,,,,,,,,,,40,""1"",""4"",""2"",""20"",""9"""
"23,1970,""2"",23,""1"",""3"",3,""3"",""1"",""0"",""53"",""0"",""1"",""4"",""62"",""5"",5,,,,,,,,,,,,"
"23,1980,""2"",33,""1"",""0"",0,""3"",""5"",""0"",""53"",""0"",""1"",""4"",""83"",""1"",7,,,,,,,,,,,,"
"23,1990,""2"",43,""1"",""2"",4,""3"",""2"",""0"",""53"",""0"",""1"",""4"",""76"",""1"",7,,,,,,,,,,,,"
"23,2000,""2"",53,""1"",""2"",4,""3"",""2"",""0"",""53"",""0"",""1"",""4"",""74"",""1"",7,,,,,,,,,,,,"
"23,2010,""2"",63,""1"",""0"",0,""3"",""4"",""0"",""53"",""0"",""1"",""4"",""78"",""1"",8,,,,,,,,,,,,"
"24,1950,""1"",5,""1"",""3"",7,""1"",,""0"",,""2"",,,,,,46,""1"",""0"",""2"",""01"",""9"",46,""1"",""4"",""2"",""01"",""9"""
"24,1970,""1"",25,""1"",""0"",0,""1"",""1"",""0"",,""0"",""1"",""5"",""38"",""5"",,,,,,,,,,,,,"
"24,1980,""1"",35,""1"",""3"",3,""1"",""1"",""0"",,""0"",""1"",""5"",""38"",""4"",9,,,,,,,,,,,,"
"24,1990,""1"",45,""1"",""0"",0,""1"",""1"",""0"",,""0"",""2"",""2"",""24"",""5"",6,,,,,,,,,,,,"
"24,2000,""1"",55,""1"",""0"",0,""1"",""1"",""0"",,""0"",""2"",""2"",""28"",""5"",4,,,,,,,,,,,,"
"24,2010,""1"",65,""1"",""0"",0,""1"",""1"",""0"",,""4"",,""7"",,""9"",4,,,,,,,,,,,,"
"25,1950,""1"",8,""1"",""3"",6,""3"",,""0"",,""2"",,,,,,33,""1"",""0"",""1"",""40"",""5"",29,""1"",""4"",""1"",""40"",""5"""
"25,1970,""1"",28,""1"",""1"",4,""3"",""2"",""0"",,""0"",""1"",""5"",""91"",""1"",9,,,,,,,,,,,,"
"25,1980,""1"",38,""1"",""1"",3,""1"",""2"",""0"",,""0"",""1"",""5"",""91"",""1"",9,,,,,,,,,,,,"
"25,1990,""1"",48,""1"",""1"",3,""3"",""2"",""0"",,""0"",""1"",""5"",""82"",""1"",9,,,,,,,,,,,,"
"25,2000,""1"",58,""1"",""1"",2,""3"",""2"",""0"",,""4"",,""7"",""99"",""9"",7,,,,,,,,,,,,"
"25,2010,""1"",68,""1"",""1"",2,""3"",""2"",""0"",,""4"",,""7"",,""9"",5,,,,,,,,,,,,"
"26,1950,""2"",3,""1"",""3"",7,""1"",,""0"",,""2"",,,,,,,,,,,,43,""1"",""4"",""1"",""40"",""1"""
"26,1970,""2"",23,""1"",""2"",2,""1"",""2"",""0"",""35"",""0"",""1"",""4"",""83"",""4"",9,,,,,,,,,,,,"
"26,1980,""2"",33,""1"",""2"",4,""1"",""2"",""0"",""35"",""4"",""1"",""9"",""83"",""4"",6,,,,,,,,,,,,"
"26,1990,""2"",43,""1"",""2"",4,""1"",""2"",""0"",""35"",""0"",""1"",""4"",""72"",""4"",10,,,,,,,,,,,,"
"26,2000,""2"",53,""1"",""0"",0,""1"",""4"",""0"",""35"",""0"",""1"",""3"",""72"",""4"",10,,,,,,,,,,,,"
"26,2010,""2"",63,""1"",""0"",0,""1"",""4"",""0"",""35"",""4"",,""7"",,""9"",9,,,,,,,,,,,,"
"27,1950,""2"",4,""1"",""3"",2,""3"",,""0"",,""2"",,,,,,,,,,,,38,""1"",""4"",""2"",""01"",""9"""
"27,1970,""2"",24,""1"",""2"",3,""3"",""2"",""0"",,""4"",""1"",""5"",""51"",""9"",3,,,,,,,,,,,,"
"27,1980,""2"",34,""1"",""2"",5,""3"",""2"",""0"",,""4"",,""5"",""99"",""9"",,,,,,,,,,,,,"
"27,1990,""2"",44,""1"",""2"",5,""3"",""2"",""0"",,""0"",""1"",""5"",""88"",""2"",4,,,,,,,,,,,,"
"27,2000,""2"",54,""1"",""2"",4,""3"",""2"",""0"",,""0"",""1"",""5"",""85"",""2"",7,,,,,,,,,,,,"
"27,2010,""2"",64,""1"",""2"",3,""3"",""2"",""0"",,""4"",,""7"",,""9"",4,,,,,,,,,,,,"
"28,1950,""2"",6,""1"",""3"",4,""1"",,""0"",,""2"",,,,,,34,""1"",""0"",""1"",""20"",""3"",39,""1"",""4"",""1"",""20"",""3"""
"28,1970,""2"",26,""1"",""0"",0,""1"",""1"",""0"",""37"",""0"",""1"",""4"",""93"",""2"",6,,,,,,,,,,,,"
"28,1980,""2"",36,""1"",""1"",4,""1"",""2"",""0"",""57"",""0"",""1"",""4"",""93"",""2"",7,,,,,,,,,,,,"
"28,1990,""2"",46,""1"",""2"",4,""1"",""2"",""0"",""57"",""0"",""2"",""2"",""95"",""5"",4,,,,,,,,,,,,"
"28,2000,""2"",56,""1"",""2"",2,""1"",""2"",""0"",""57"",""0"",""2"",""2"",""85"",""5"",10,,,,,,,,,,,,"
"29,1950,""2"",7,""1"",""3"",7,""2"",,""0"",,""2"",,,,,,46,""1"",""0"",""1"",""27"",""5"",38,""1"",""3"",""1"",""27"",""5"""
"29,1970,""2"",27,""1"",""1"",2,""2"",""2"",""0"",,""0"",""1"",""4"",""34"",""4"",7,,,,,,,,,,,,"
"29,1980,""2"",37,""1"",""1"",2,""2"",""4"",""0"",,""0"",""1"",""4"",""34"",""4"",8,,,,,,,,,,,,"
"29,1990,""2"",47,""1"",""0"",0,""2"",""4"",""0"",,""0"",""1"",""4"",""15"",""4"",8,,,,,,,,,,,,"
"29,2000,""2"",57,""1"",""0"",0,""2"",""4"",""0"",,""4"",,""8"",""99"",""9"",5,,,,,,,,,,,,"
"29,2010,""2"",67,""1"",""0"",0,""2"",""4"",""0"",,""4"",,""7"",,""9"",5,,,,,,,,,,,,"
"30,1950,""2"",5,""1"",""3"",4,""2"",,""0"",,""2"",,,,,,37,""1"",""0"",""2"",""01"",""9"",29,""1"",""0"",""2"",""01"",""9"""
"30,1970,""2"",25,""1"",""3"",4,""2"",""1"",""0"",,""0"",""1"",""4"",""95"",""5"",3,,,,,,,,,,,,"
"30,1980,""2"",35,""1"",""0"",0,""2"",""1"",""0"",,""0"",""1"",""5"",""93"",""5"",5,,,,,,,,,,,,"
"30,1990,""2"",45,""1"",""3"",3,""2"",""1"",""0"",,""0"",""1"",""5"",""92"",""4"",6,,,,,,,,,,,,"
"30,2000,""2"",55,""1"",""3"",3,""2"",""1"",""0"",,""0"",""1"",""5"",""91"",""4"",5,,,,,,,,,,,,"
"30,2010,""2"",65,""1"",""0"",0,""2"",""1"",""0"",,""4"",,""7"",,""9"",4,,,,,,,,,,,,"
"31,1950,""1"",1,""1"",""3"",6,""2"",,""0"",,""2"",,,,,,31,""1"",""0"",""1"",""40"",""9"",24,""1"",""4"",""1"",""40"",""9"""
"31,1970,""1"",21,""1"",""3"",6,""2"",""1"",""1"",""30"",""3"",,""7"",""99"",""9"",1,,,,,,,,,,,,"
"31,1980,""1"",31,""1"",""0"",0,""1"",""1"",""1"",""75"",""0"",""1"",""3"",""83"",""4"",10,,,,,,,,,,,,"
"31,1990,""1"",41,""1"",""0"",0,""1"",""1"",""1"",""75"",""0"",""1"",""3"",""71"",""4"",10,,,,,,,,,,,,"
"31,2000,""1"",51,""1"",""0"",0,""1"",""1"",""1"",""75"",""0"",""1"",""3"",""45"",""2"",10,,,,,,,,,,,,"
"31,2010,""1"",61,""1"",""0"",0,""1"",""1"",""1"",""75"",""0"",""1"",""3"",""71"",""2"",10,,,,,,,,,,,,"
"32,1950,""2"",6,""1"",""3"",7,""1"",,""0"",,""2"",,,,,,48,""1"",""0"",""2"",""01"",""9"",44,""1"",""0"",""2"",""01"",""9"""
"32,1970,""2"",26,""1"",""2"",5,""1"",""2"",""0"",,""0"",""1"",""5"",""32"",""4"",4,,,,,,,,,,,,"
"32,1980,""2"",36,""1"",""2"",4,""1"",""2"",""0"",,""0"",""1"",""5"",""62"",""4"",7,,,,,,,,,,,,"
"32,1990,""2"",46,""1"",""0"",0,""1"",""4"",""0"",,""0"",""1"",""5"",""13"",""4"",5,,,,,,,,,,,,"
"32,2000,""2"",56,""1"",""0"",0,""1"",""4"",""0"",,""0"",""1"",""5"",""18"",""4"",5,,,,,,,,,,,,"
"32,2010,""2"",66,""1"",""0"",0,""1"",""4"",""0"",,""4"",,""7"",,""9"",3,,,,,,,,,,,,"
"33,1950,""2"",9,""1"",""3"",4,""1"",,""0"",,""2"",,,,,,46,""1"",""0"",""2"",""01"",""9"",47,""1"",""0"",""2"",""01"",""9"""
"33,1970,""2"",29,""1"",""2"",4,""1"",""2"",""1"",""61"",""4"",""1"",""3"",""35"",""9"",5,,,,,,,,,,,,"
"33,1980,""2"",39,""1"",""2"",4,""1"",""2"",""1"",""61"",""4"",,""3"",""99"",""9"",8,,,,,,,,,,,,"
